County,Candidate,Candidate_Party,Election_day_votes,Early_voting,Absentee_by_mail,Provisional_votes,Total_votes,Election_Year
AVERY,Donald J. Trump,REP,0,2110,0,0,2110,2016
AVERY,Donald J. Trump,REP,120,0,0,0,120,2016
AVERY,Donald J. Trump,REP,152,0,0,0,152,2016
AVERY,Donald J. Trump,REP,550,0,0,0,550,2016
AVERY,Donald J. Trump,REP,361,0,0,0,361,2016
AVERY,Donald J. Trump,REP,241,0,0,0,241,2016
AVERY,Donald J. Trump,REP,148,0,0,0,148,2016
AVERY,Donald J. Trump,REP,145,0,0,0,145,2016
AVERY,Donald J. Trump,REP,116,0,0,0,116,2016
AVERY,Donald J. Trump,REP,127,0,0,0,127,2016
AVERY,Donald J. Trump,REP,127,0,0,0,127,2016
AVERY,Donald J. Trump,REP,240,0,0,0,240,2016
AVERY,Donald J. Trump,REP,0,0,0,64,64,2016
AVERY,Donald J. Trump,REP,156,0,0,0,156,2016
AVERY,Donald J. Trump,REP,280,0,0,0,280,2016
AVERY,Donald J. Trump,REP,283,0,0,0,283,2016
AVERY,Donald J. Trump,REP,209,0,0,0,209,2016
AVERY,Donald J. Trump,REP,32,0,0,0,32,2016
AVERY,Donald J. Trump,REP,112,0,0,0,112,2016
AVERY,Donald J. Trump,REP,303,0,0,0,303,2016
AVERY,Donald J. Trump,REP,0,0,235,0,235,2016
AVERY,Donald J. Trump,REP,187,0,0,0,187,2016
AVERY,Gary Johnson,LIB,1,0,0,0,1,2016
AVERY,Gary Johnson,LIB,5,0,0,0,5,2016
AVERY,Gary Johnson,LIB,10,0,0,0,10,2016
AVERY,Gary Johnson,LIB,7,0,0,0,7,2016
AVERY,Gary Johnson,LIB,0,0,8,0,8,2016
AVERY,Gary Johnson,LIB,0,0,0,0,0,2016
AVERY,Gary Johnson,LIB,7,0,0,0,7,2016
AVERY,Gary Johnson,LIB,3,0,0,0,3,2016
AVERY,Gary Johnson,LIB,33,0,0,0,33,2016
AVERY,Gary Johnson,LIB,2,0,0,0,2,2016
AVERY,Gary Johnson,LIB,4,0,0,0,4,2016
AVERY,Gary Johnson,LIB,0,0,0,1,1,2016
AVERY,Gary Johnson,LIB,0,0,0,0,0,2016
AVERY,Gary Johnson,LIB,3,0,0,0,3,2016
AVERY,Gary Johnson,LIB,5,0,0,0,5,2016
AVERY,Gary Johnson,LIB,3,0,0,0,3,2016
AVERY,Gary Johnson,LIB,3,0,0,0,3,2016
AVERY,Gary Johnson,LIB,5,0,0,0,5,2016
AVERY,Gary Johnson,LIB,5,0,0,0,5,2016
AVERY,Gary Johnson,LIB,6,0,0,0,6,2016
AVERY,Gary Johnson,LIB,8,0,0,0,8,2016
AVERY,Gary Johnson,LIB,0,47,0,0,47,2016
AVERY,Hillary Clinton,DEM,27,0,0,0,27,2016
AVERY,Hillary Clinton,DEM,0,0,85,0,85,2016
AVERY,Hillary Clinton,DEM,30,0,0,0,30,2016
AVERY,Hillary Clinton,DEM,7,0,0,0,7,2016
AVERY,Hillary Clinton,DEM,7,0,0,0,7,2016
AVERY,Hillary Clinton,DEM,98,0,0,0,98,2016
AVERY,Hillary Clinton,DEM,34,0,0,0,34,2016
AVERY,Hillary Clinton,DEM,8,0,0,0,8,2016
AVERY,Hillary Clinton,DEM,7,0,0,0,7,2016
AVERY,Hillary Clinton,DEM,0,0,0,12,12,2016
AVERY,Hillary Clinton,DEM,72,0,0,0,72,2016
AVERY,Hillary Clinton,DEM,53,0,0,0,53,2016
AVERY,Hillary Clinton,DEM,15,0,0,0,15,2016
AVERY,Hillary Clinton,DEM,55,0,0,0,55,2016
AVERY,Hillary Clinton,DEM,38,0,0,0,38,2016
AVERY,Hillary Clinton,DEM,11,0,0,0,11,2016
AVERY,Hillary Clinton,DEM,28,0,0,0,28,2016
AVERY,Hillary Clinton,DEM,23,0,0,0,23,2016
AVERY,Hillary Clinton,DEM,13,0,0,0,13,2016
AVERY,Hillary Clinton,DEM,238,0,0,0,238,2016
AVERY,Hillary Clinton,DEM,0,775,0,0,775,2016
AVERY,Hillary Clinton,DEM,53,0,0,0,53,2016
AVERY,Jill Stein (Write-In),NA,2,0,0,0,2,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,7,0,0,0,7,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,2,0,0,0,2,2016
AVERY,Jill Stein (Write-In),NA,1,0,0,0,1,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,8,0,0,8,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,1,0,0,0,1,2016
AVERY,Jill Stein (Write-In),NA,2,0,0,0,2,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Jill Stein (Write-In),NA,0,0,0,0,0,2016
AVERY,Write-In (Miscellaneous),NA,3,0,0,0,3,2016
AVERY,Write-In (Miscellaneous),NA,2,0,0,0,2,2016
AVERY,Write-In (Miscellaneous),NA,0,0,0,0,0,2016
AVERY,Write-In (Miscellaneous),NA,0,0,0,0,0,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,0,0,6,0,6,2016
AVERY,Write-In (Miscellaneous),NA,0,0,0,1,1,2016
AVERY,Write-In (Miscellaneous),NA,4,0,0,0,4,2016
AVERY,Write-In (Miscellaneous),NA,0,0,0,0,0,2016
AVERY,Write-In (Miscellaneous),NA,3,0,0,0,3,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,6,0,0,0,6,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,12,0,0,0,12,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,3,0,0,0,3,2016
AVERY,Write-In (Miscellaneous),NA,0,0,0,0,0,2016
AVERY,Write-In (Miscellaneous),NA,0,21,0,0,21,2016
AVERY,Write-In (Miscellaneous),NA,5,0,0,0,5,2016
CABARRUS,Donald J. Trump,REP,303,0,0,0,303,2016
CABARRUS,Donald J. Trump,REP,472,0,0,0,472,2016
CABARRUS,Donald J. Trump,REP,533,0,0,0,533,2016
CABARRUS,Donald J. Trump,REP,677,0,0,0,677,2016
CABARRUS,Donald J. Trump,REP,651,0,0,0,651,2016
CABARRUS,Donald J. Trump,REP,471,0,0,0,471,2016
CABARRUS,Donald J. Trump,REP,517,0,0,0,517,2016
CABARRUS,Donald J. Trump,REP,313,0,0,0,313,2016
CABARRUS,Donald J. Trump,REP,351,0,0,0,351,2016
CABARRUS,Donald J. Trump,REP,1180,0,0,0,1180,2016
CABARRUS,Donald J. Trump,REP,944,0,0,0,944,2016
CABARRUS,Donald J. Trump,REP,0,4462,0,0,4462,2016
CABARRUS,Donald J. Trump,REP,783,0,0,0,783,2016
CABARRUS,Donald J. Trump,REP,214,0,0,0,214,2016
CABARRUS,Donald J. Trump,REP,1709,0,0,0,1709,2016
